ID du problème,Description,État,Gravité,Estimation en points (story point),Chemin d’accès du projet,Genre d’emplacement,Chemin,Ligne,Colonne,ID d‘incident,Lien d'aide,Nom de l'assembly,Version de l'assembly,Clé publique d’assemblée,Extrait
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,534,12,"M:System.Drawing.Font.#ctor(System.String,System.Single)",,,,,"this.chkMigratePictures.Font = new Font(""Segoe UI"", 9F);"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,534,12,T:System.Windows.Forms.CheckBox,,,,,"this.chkMigratePictures.Font = new Font(""Segoe UI"", 9F);"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,534,12,T:System.Drawing.Font,,,,,"this.chkMigratePictures.Font = new Font(""Segoe UI"", 9F);"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,534,12,P:System.Windows.Forms.Control.Font,,,,,"this.chkMigratePictures.Font = new Font(""Segoe UI"", 9F);"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,533,12,T:System.Windows.Forms.CheckBox,,,,,this.chkMigratePictures.AutoSize = true;
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,533,12,P:System.Windows.Forms.ButtonBase.AutoSize,,,,,this.chkMigratePictures.AutoSize = true;
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,532,12,T:System.Windows.Forms.CheckBox,,,,,this.chkMigratePictures.Checked = true;
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,532,12,P:System.Windows.Forms.CheckBox.Checked,,,,,this.chkMigratePictures.Checked = true;
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,531,12,T:System.Windows.Forms.CheckBox,,,,,"this.chkMigratePictures.Text = ""Images"";"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,531,12,P:System.Windows.Forms.ButtonBase.Text,,,,,"this.chkMigratePictures.Text = ""Images"";"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,530,12,T:System.Windows.Forms.CheckBox,,,,,"this.chkMigratePictures.Location = new Point(150, 53);"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,530,12,P:System.Windows.Forms.Control.Location,,,,,"this.chkMigratePictures.Location = new Point(150, 53);"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,528,12,T:System.Drawing.Font,,,,,"this.chkMigrateDownloads.Font = new Font(""Segoe UI"", 9F);"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,528,12,"M:System.Drawing.Font.#ctor(System.String,System.Single)",,,,,"this.chkMigrateDownloads.Font = new Font(""Segoe UI"", 9F);"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,528,12,T:System.Windows.Forms.CheckBox,,,,,"this.chkMigrateDownloads.Font = new Font(""Segoe UI"", 9F);"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,528,12,T:System.Drawing.Font,,,,,"this.chkMigrateDownloads.Font = new Font(""Segoe UI"", 9F);"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,528,12,P:System.Windows.Forms.Control.Font,,,,,"this.chkMigrateDownloads.Font = new Font(""Segoe UI"", 9F);"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,527,12,T:System.Windows.Forms.CheckBox,,,,,this.chkMigrateDownloads.AutoSize = true;
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,527,12,P:System.Windows.Forms.ButtonBase.AutoSize,,,,,this.chkMigrateDownloads.AutoSize = true;
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,526,12,T:System.Windows.Forms.CheckBox,,,,,this.chkMigrateDownloads.Checked = true;
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,526,12,P:System.Windows.Forms.CheckBox.Checked,,,,,this.chkMigrateDownloads.Checked = true;
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,525,12,T:System.Windows.Forms.CheckBox,,,,,"this.chkMigrateDownloads.Text = ""Téléchargements"";"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,525,12,P:System.Windows.Forms.ButtonBase.Text,,,,,"this.chkMigrateDownloads.Text = ""Téléchargements"";"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,524,12,T:System.Windows.Forms.CheckBox,,,,,"this.chkMigrateDownloads.Location = new Point(150, 25);"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,524,12,P:System.Windows.Forms.Control.Location,,,,,"this.chkMigrateDownloads.Location = new Point(150, 25);"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,522,12,T:System.Drawing.Font,,,,,"this.chkMigrateDesktop.Font = new Font(""Segoe UI"", 9F);"
